id_venue,name_venue,type_venue
id_"ACIIDS (Extended Posters),"ACIIDS (Extended Posters),proceed
id_"COIN@AAMAS/PRICAI,"COIN@AAMAS/PRICAI,proceed
id_"DepCoS-RELCOMEX,"DepCoS-RELCOMEX,proceed
id_"EUSIPCO,"EUSIPCO,proceed
id_"MUSA2@MM,"MUSA2@MM,proceed
id_"NetSci-X,"NetSci-X,proceed
id_#MSM,#MSM,proceed
id_#Microposts,#Microposts,proceed
id_(KNOW@LOD/CoDeS)@ESWC,(KNOW@LOD/CoDeS)@ESWC,proceed
id_*SEM,*SEM,proceed
id_*SEM@ACL,*SEM@ACL,proceed
id_*SEM@COLING,*SEM@COLING,proceed
id_*SEM@NAACL-HLT,*SEM@NAACL-HLT,proceed
id_10th Anniversary Colloquium of UNU/IIST,10th Anniversary Colloquium of UNU/IIST,proceed
id_1999 ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,1999 ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,proceed
id_2018,2018,proceed
id_25 Years CSP,25 Years CSP,proceed
id_25 Years Communicating Sequential Processes,25 Years Communicating Sequential Processes,proceed
id_25 Years GULP,25 Years GULP,proceed
id_25 Years ISCA: Retrospectives and Reprints,25 Years ISCA: Retrospectives and Reprints,proceed
id_25 Years of Model Checking,25 Years of Model Checking,proceed
id_25th Anniversary of INRIA,25th Anniversary of INRIA,proceed
id_35 Years of Fuzzy Set Theory,35 Years of Fuzzy Set Theory,proceed
id_3D Flash Memories,3D Flash Memories,proceed
id_3D Image Processing, Measurement (3DIPM), and Applications,3D Image Processing, Measurement (3DIPM), and Applications,proceed
id_3D Imaging, Analysis and Applications,3D Imaging, Analysis and Applications,proceed
id_3D Integration for NoC-based SoC Architectures,3D Integration for NoC-based SoC Architectures,proceed
id_3D Multiscale Physiological Human,3D Multiscale Physiological Human,proceed
id_3D Research Challenges in Cultural Heritage,3D Research Challenges in Cultural Heritage,proceed
id_3D-GIS,3D-GIS,proceed
id_3DCVE@VR,3DCVE@VR,proceed
id_3DIC,3DIC,proceed
id_3DIM,3DIM,proceed
id_3DIMPVT,3DIMPVT,proceed
id_3DOR,3DOR,proceed
id_3DOR@MM,3DOR@MM,proceed
id_3DPH,3DPH,proceed
id_3DPVT,3DPVT,proceed
id_3DTV-Conference,3DTV-Conference,proceed
id_3DUI,3DUI,proceed
id_3DV,3DV,proceed
id_3DV (Workshops),3DV (Workshops),proceed
id_3DVis@IEEE VIS,3DVis@IEEE VIS,proceed
id_3GSE,3GSE,proceed
id_3PGCIC,3PGCIC,proceed
id_40 Jahre Informatik @ Braunschweig,40 Jahre Informatik @ Braunschweig,proceed
id_4WARD Project,4WARD Project,proceed
id_50 Years of Artificial Intelligence,50 Years of Artificial Intelligence,proceed
id_50 Years of Integer Programming,50 Years of Integer Programming,proceed
id_5G World Forum,5G World Forum,proceed
id_5GU,5GU,proceed
id_5GWN,5GWN,proceed
id_@ICPR,@ICPR,proceed
id_A Biosystems Approach to Industrial Patient Monitoring and Diagnostic Devices,A Biosystems Approach to Industrial Patient Monitoring and Diagnostic Devices,proceed
id_A Blossoming Development of Splines,A Blossoming Development of Splines,proceed
id_A Comprehensive Guide Through the Italian Database Research,A Comprehensive Guide Through the Italian Database Research,proceed
id_A Concise Introduction to Models and Methods for Automated Planning,A Concise Introduction to Models and Methods for Automated Planning,proceed
id_A Concise Introduction to Multiagent Systems and Distributed Artificial Intelligence,A Concise Introduction to Multiagent Systems and Distributed Artificial Intelligence,proceed
id_A Construction Manual for Robots' Ethical Systems,A Construction Manual for Robots' Ethical Systems,proceed
id_A Guide to Convolutional Neural Networks for Computer Vision,A Guide to Convolutional Neural Networks for Computer Vision,proceed
id_A Guide to Publishing for Academics,A Guide to Publishing for Academics,proceed
id_A Guide to Visual Multi-Level Interface Design From Synthesis of Empirical Study Evidence,A Guide to Visual Multi-Level Interface Design From Synthesis of Empirical Study Evidence,proceed
id_A Gyrovector Space Approach to Hyperbolic Geometry,A Gyrovector Space Approach to Hyperbolic Geometry,proceed
id_A Half-Century of Automata Theory,A Half-Century of Automata Theory,proceed
id_A Handbook for Analytical Writing: Keys to Strategic Thinking,A Handbook for Analytical Writing: Keys to Strategic Thinking,proceed
id_A Hybrid Imagination: Science and Technology in Cultural Perspective,A Hybrid Imagination: Science and Technology in Cultural Perspective,proceed
id_A List of Successes That Can Change the World,A List of Successes That Can Change the World,proceed
id_A Little Book on Teaching,A Little Book on Teaching,proceed
id_A Passion for Fuzzy Sets,A Passion for Fuzzy Sets,proceed
