id_year,year
id_1900,1900
id_1901,1901
id_1902,1902
id_1903,1903
id_1904,1904
id_1905,1905
id_1906,1906
id_1907,1907
id_1908,1908
id_1909,1909
id_1910,1910
id_1911,1911
id_1912,1912
id_1913,1913
id_1914,1914
id_1915,1915
id_1916,1916
id_1917,1917
id_1918,1918
id_1919,1919
id_1920,1920
id_1921,1921
id_1922,1922
id_1923,1923
id_1924,1924
id_1925,1925
id_1926,1926
id_1927,1927
id_1928,1928
id_1929,1929
id_1930,1930
id_1931,1931
id_1932,1932
id_1933,1933
id_1934,1934
id_1935,1935
id_1936,1936
id_1937,1937
id_1938,1938
id_1939,1939
id_1940,1940
id_1941,1941
id_1942,1942
id_1943,1943
id_1944,1944
id_1945,1945
id_1946,1946
id_1947,1947
id_1948,1948
id_1949,1949
id_1950,1950
id_1951,1951
id_1952,1952
id_1953,1953
id_1954,1954
id_1955,1955
id_1956,1956
id_1957,1957
id_1958,1958
id_1959,1959
id_1960,1960
id_1961,1961
id_1962,1962
id_1963,1963
id_1964,1964
id_1965,1965
id_1966,1966
id_1967,1967
id_1968,1968
id_1969,1969
id_1970,1970
id_1971,1971
id_1972,1972
id_1973,1973
id_1974,1974
id_1975,1975
id_1976,1976
id_1977,1977
id_1978,1978
id_1979,1979
id_1980,1980
id_1981,1981
id_1982,1982
id_1983,1983
id_1984,1984
id_1985,1985
id_1986,1986
id_1987,1987
id_1988,1988
id_1989,1989
id_1990,1990
id_1991,1991
id_1992,1992
id_1993,1993
id_1994,1994
id_1995,1995
id_1996,1996
id_1997,1997
id_1998,1998
id_1999,1999
id_2000,2000
id_2001,2001
id_2002,2002
id_2003,2003
id_2004,2004
id_2005,2005
id_2006,2006
id_2007,2007
id_2008,2008
id_2009,2009
id_2010,2010
id_2011,2011
id_2012,2012
id_2013,2013
id_2014,2014
id_2015,2015
id_2016,2016
id_2017,2017
id_2018,2018
id_2019,2019
id_2020,2020
